iter	Passed	Remaining
0	3	355
1	6	331
2	9	322
3	12	299
4	15	299
5	18	297
6	22	299
7	25	296
8	28	291
9	32	289
10	35	286
11	38	283
12	41	280
13	45	277
14	48	273
15	51	270
16	54	267
17	57	264
18	61	260
19	64	257
20	67	253
21	70	250
22	73	246
23	76	243
24	80	240
25	83	237
26	86	233
27	89	230
28	92	227
29	96	224
30	99	221
31	102	217
32	105	214
33	109	213
34	112	209
35	115	204
36	117	199
37	119	194
38	121	189
39	123	184
40	124	179
41	125	173
42	127	168
43	128	164
44	130	159
45	131	154
46	133	150
47	134	145
48	135	141
49	136	136
50	138	132
51	139	128
52	140	124
53	141	120
54	142	116
55	143	113
56	145	109
57	146	106
58	147	102
59	148	99
60	150	95
61	151	92
62	152	89
63	153	86
64	154	83
65	156	80
66	157	77
67	158	74
68	159	71
69	160	68
70	161	66
71	162	63
72	164	60
73	165	58
74	166	55
75	167	52
76	168	50
77	169	47
78	171	45
79	172	43
80	173	40
81	174	38
82	175	35
83	176	33
84	177	31
85	179	29
86	180	26
87	181	24
88	182	22
89	184	20
90	185	18
91	186	16
92	187	14
93	188	12
94	189	9
95	191	7
96	192	5
97	194	3
98	195	1
99	196	0
