iter	Passed	Remaining
0	0	479
1	0	401
2	1	352
3	1	322
4	1	304
5	1	291
6	1	282
7	2	275
8	2	283
9	2	280
10	3	279
11	3	275
12	3	270
13	3	269
14	4	271
15	4	272
16	4	270
17	4	270
18	5	271
19	5	270
20	5	269
21	5	266
22	6	264
23	6	264
24	6	264
25	7	263
26	7	261
27	7	263
28	7	262
29	8	262
30	8	262
31	8	260
32	8	259
33	9	259
34	9	259
35	9	257
36	9	256
37	10	255
38	10	254
39	10	253
40	10	252
41	11	251
42	11	250
43	11	249
44	11	249
45	12	250
46	12	251
47	12	250
48	12	249
49	13	249
50	13	247
51	13	247
52	13	246
53	14	245
54	14	245
55	14	244
56	14	244
57	15	243
58	15	243
59	15	242
60	15	242
61	15	241
62	16	241
63	16	240
64	16	241
65	17	241
66	17	240
67	17	240
68	17	240
69	18	239
70	18	239
71	18	238
72	18	238
73	18	237
74	19	237
75	19	236
76	19	236
77	19	235
78	20	234
79	20	234
80	20	234
81	20	233
82	20	231
83	21	231
84	21	230
85	21	230
86	21	229
87	22	229
88	22	229
89	22	228
90	22	228
91	23	229
92	23	230
93	23	230
94	24	231
95	24	230
96	24	230
97	25	230
98	25	231
99	25	230
100	25	230
101	26	230
102	26	229
103	26	229
104	26	229
105	27	228
106	27	228
107	27	227
108	27	227
109	28	226
110	28	226
111	28	225
112	28	225
113	28	224
114	29	224
115	29	224
116	29	223
117	29	222
118	30	222
119	30	221
120	30	221
121	30	220
122	30	220
123	31	219
124	31	219
125	31	218
126	31	217
127	31	217
128	32	217
129	32	217
130	32	217
131	32	216
132	33	216
133	33	216
134	33	215
135	33	215
136	34	215
137	34	215
138	34	214
139	34	214
140	35	214
141	35	212
142	35	212
143	35	212
144	35	211
145	36	211
146	36	211
147	36	210
148	36	210
149	37	210
150	37	210
151	37	209
152	37	209
153	38	209
154	38	209
155	38	208
156	38	208
157	39	208
158	39	208
159	39	208
160	39	207
161	40	207
162	40	207
163	40	208
164	41	208
165	41	207
166	41	207
167	41	207
168	42	207
169	42	206
170	42	206
171	42	206
172	43	205
173	43	205
174	43	205
175	43	204
176	44	204
177	44	204
178	44	204
179	44	203
180	44	203
181	45	203
182	45	202
183	45	202
184	45	202
185	46	202
186	46	201
187	46	201
188	46	201
189	47	200
190	47	200
191	47	200
192	47	199
193	47	199
194	48	199
195	48	199
196	48	198
197	48	198
198	49	198
199	49	198
